date,open,high,low,close,volume,amount
2008-08-27,11412.46,11575.1396,11349.6904,11502.5098,120580000,1381840000000
2008-08-28,11499.8701,11756.46,11493.7197,11715.1797,149150000,1732570000000
2008-08-29,11713.2305,11730.4902,11508.7803,11543.5498,166910000,1940160000000
2008-09-02,11545.6299,11831.29,11444.79,11516.9199,177090000,2051530000000
2008-09-03,11506.0098,11629.6904,11328.8398,11532.8799,174250000,2003760000000
2008-09-04,11532.4805,11532.4805,11130.2598,11188.2305,229200000,2600470000000
2008-09-05,11185.6299,11301.7305,10998.7695,11220.96,198300000,2216350000000
2008-09-08,11224.8701,11656.6396,11224.8701,11510.7402,273000000,3113370000000
2008-09-09,11514.7305,11623.5,11209.8096,11230.7305,257300000,2931850000000
2008-09-10,11233.9102,11453.5,11135.6396,11268.9199,214260000,2415350000000
2008-09-11,11264.4404,11461.1504,11018.7197,11433.71,247820000,2799000000000
2008-09-12,11429.3203,11532.7197,11191.0801,11421.9902,238890000,2721860000000
2008-09-15,11416.3701,11416.3701,10849.8496,10917.5098,432970000,4827630000000
2008-09-16,10905.6201,11193.1201,10604.7002,11059.0195,494760000,5412980000000
2008-09-17,11056.5801,11068.8701,10521.8096,10609.6602,463200000,5009150000000
2008-09-18,10609.0098,11149.0703,10403.75,11019.6904,488060000,5268790000000
2008-09-19,11027.5098,11415.4805,11027.5098,11388.4404,655110000,7346880000000
2008-09-22,11394.4199,11450.8096,10956.4297,11015.6904,213210000,2388880000000
2008-09-23,11015.6904,11214.6504,10763.7695,10854.1699,204480000,2241520000000
2008-09-24,10850.0195,11041.0195,10696.3799,10825.1699,183630000,1992960000000
2008-09-25,10827.1699,11206.0498,10799.7695,11022.0596,218530000,2395910000000
2008-09-26,11019.04,11218.4805,10781.3701,11143.1299,232560000,2567580000000
2008-09-29,11139.6201,11139.6201,10266.7598,10365.4502,385940000,4140310000000
2008-09-30,10371.5801,10922.0303,10371.5801,10850.6602,319770000,3398820000000
2008-10-01,10847.4004,11022.0596,10495.9902,10831.0703,256670000,2771810000000
2008-10-02,10825.54,10843.0996,10368.0801,10482.8496,395330000,4202320000000
2008-10-03,10483.96,10844.6904,10261.75,10325.3799,299690000,3140440000000
2008-10-06,10322.5195,10322.5195,9503.0996,9955.5,391460000,3924740000000
2008-10-07,9955.4199,10205.04,9391.6699,9447.1104,362520000,3534500000000
2008-10-08,9437.2305,9778.04,9042.9697,9258.0996,479270000,4495110000000
2008-10-09,9261.6904,9522.7695,8523.2695,8579.1904,436740000,3918310000000
2008-10-10,8568.6699,8989.1299,7773.71,8451.1904,674920000,5700160000000
2008-10-13,8462.4199,9501.9102,8462.4199,9387.6104,399290000,3575080000000
2008-10-14,9388.9697,9924.2803,9050.0596,9310.9902,412740000,3887420000000
2008-10-15,9301.9102,9301.9102,8516.5,8577.9102,374350000,3340910000000
2008-10-16,8577.04,9073.6396,8176.1699,8979.2598,422450000,3675960000000
2008-10-17,8975.3496,9304.3799,8640.8301,8852.2197,360600000,3224920000000
2008-10-20,8852.2998,9305.8896,8799.4902,9265.4297,241400000,2186060000000
2008-10-21,9179.1104,9293.0703,9017.2998,9045.21,231160000,2111340000000
2008-10-22,9027.8398,9027.8398,8324.0703,8519.21,348840000,3043540000000
2008-10-23,8519.7695,8864.4805,8200.0596,8691.25,340740000,2919760000000
2008-10-24,8683.21,8683.21,8088.6299,8378.9502,335680000,2839350000000
2008-10-27,8375.9199,8639.6396,8085.3701,8175.77,281180000,2339190000000
2008-10-28,8178.7202,9112.5098,8153.79,9065.1201,372160000,3210820000000
2008-10-29,9062.3301,9405.0498,8800.6104,8990.96,316230000,2866540000000
2008-10-30,9004.6602,9380.3604,8916.8096,9180.6904,267210000,2437120000000
2008-10-31,9179.0898,9498.4805,9014.7803,9325.0098,310950000,2877640000000
2008-11-03,9326.04,9488.9199,9175.0303,9319.8301,180970000,1687990000000
2008-11-04,9323.8896,9711.46,9323.8896,9625.2803,254930000,2420850000000
2008-11-05,9616.5996,9628.1504,9086.0596,9139.2695,264640000,2479020000000
2008-11-06,9134.0098,9216.3701,8607.1396,8695.79,344350000,3069300000000
2008-11-07,8696.0303,9032.54,8661.2197,8943.8096,246300000,2175670000000
2008-11-10,8946.5996,9212.9404,8735.6104,8870.54,221230000,1978110000000
2008-11-11,8864.3203,8892.2002,8499.6201,8693.96,257270000,2247900000000
2008-11-12,8684.5195,8684.5195,8235.6602,8282.6602,314660000,2665750000000
2008-11-13,8281.1396,8898.4102,7947.7402,8835.25,476600000,4046640000000
2008-11-14,8822.1904,8980.9297,8421.0801,8497.3096,304370000,2642050000000
2008-11-17,8494.8398,8596.3096,8197.1201,8273.5801,278220000,2334390000000
2008-11-18,8273.3398,8540.0801,8075.8101,8424.75,366390000,3051480000000
2008-11-19,8420.6904,8534.3398,7967.3301,7997.2798,350470000,2884340000000
2008-11-20,7995.5298,8224.3496,7464.5098,7552.29,528130000,4124260000000
2008-11-21,7552.3701,8121.4502,7392.27,8046.4199,569010000,4425830000000
2008-11-24,8048.0898,8624.2695,8023.3198,8443.3896,491890000,4075190000000
2008-11-25,8445.1396,8682.0898,8244.4297,8479.4697,374020000,3165250000000
2008-11-26,8464.4902,8760.46,8250.7998,8726.6104,283920000,2427680000000
2008-11-28,8690.2402,8840.3301,8687.0498,8829.04,155510000,1362530000000
2008-12-01,8826.8896,8826.8896,8123.04,8149.0898,321010000,2722640000000
2008-12-02,8153.75,8490.6201,8072.4702,8419.0898,307520000,2547490000000
2008-12-03,8409.1396,8654.7695,8170.1899,8591.6904,294680000,2491950000000
2008-12-04,8587.0703,8705.9805,8222.8398,8376.2402,280880000,2379910000000
2008-12-05,8376.0801,8722.4697,8084.25,8635.4199,346370000,2928400000000
2008-12-08,8637.6504,9151.6104,8637.6504,8934.1797,358970000,3173390000000
2008-12-09,8934.0996,8978.1396,8591.6904,8691.3301,284950000,2507220000000
2008-12-10,8693.0,8942.46,8589.8604,8761.4199,232830000,2036490000000
2008-12-11,8750.1299,8861.8604,8480.1797,8565.0898,290540000,2517330000000
2008-12-12,8563.0996,8705.4297,8272.2197,8629.6797,271030000,2315300000000
2008-12-15,8628.8096,8738.4004,8431.04,8564.5303,229940000,1975340000000
2008-12-16,8565.6504,8985.6299,8534.0303,8924.1396,337190000,2951210000000
2008-12-17,8921.9102,9001.96,8701.1299,8824.3398,239260000,2120400000000
2008-12-18,8823.9404,8946.3604,8516.0195,8604.9902,274080000,2390750000000
2008-12-19,8606.5,8823.7803,8499.0596,8579.1104,550150000,4746210000000
2008-12-22,8573.3701,8672.0596,8351.79,8519.6904,211090000,1800430000000
2008-12-23,8518.6504,8647.5996,8376.7998,8419.4902,174640000,1482800000000
2008-12-24,8428.1699,8498.2598,8417.0195,8468.4805,66930000,565758000000
2008-12-26,8468.71,8581.5801,8434.9404,8515.5498,86760000,737477000000
2008-12-29,8515.8701,8575.5996,8349.2402,8483.9297,153730000,1303810000000
2008-12-30,8487.5098,8700.8896,8463.7002,8668.3896,162560000,1394780000000
2008-12-31,8666.4805,8862.6504,8634.0596,8776.3896,226760000,1980720000000
2009-01-02,8772.25,9080.5703,8725.0996,9034.6904,213700000,1902600000000
2009-01-05,9027.1299,9093.4697,8841.7002,8952.8896,233760000,2098880000000
2009-01-06,8954.5703,9175.1904,8868.0703,9015.0996,215410000,1939390000000
2009-01-07,8996.9404,8996.9404,8690.4502,8769.7002,266710000,2363990000000
2009-01-08,8769.9404,8807.1396,8593.5195,8742.46,226620000,1978000000000
2009-01-09,8738.7998,8800.4502,8541.75,8599.1797,204300000,1771290000000
2009-01-12,8599.2598,8653.9697,8391.8496,8473.9697,273550000,2333320000000
