代码,转债名称,现价,涨跌幅,正股代码,正股名称,正股价,正股涨跌,正股PB,转股价,转股价值,转股溢价率,债券评级,回售触发价,强赎触发价,转债占比,到期时间,剩余年限,剩余规模,成交额,换手率,到期税前收益,双低
123085,万顺转2,137.254,-1.2,300057,万顺新材,5.96,-2.93,1.03,4.99,119.44,14.91,AA-,3.493,6.487,12.2,2026-12-11,1.162,5.287,5803.9,8.03,-17.72,152.16
118045,盟升转债,193.8,2.67,688311,盟升电子,35.28,2.44,3.71,20.94,168.48,15.03,A,14.658,27.222,2.1,2029-09-12,3.918,1.238,16707.5,70.61,-12.46,208.83
123107,温氏转债,130.233,-0.81,300498,温氏股份,18.78,-0.32,2.97,16.59,113.2,15.05,AAA,11.613,21.567,6.9,2027-03-29,1.458,77.064,8276.2,0.82,-11.16,145.28
123241,欧通转债,518.16,-4.08,300870,欧陆通,198.0,-4.9,8.86,43.98,450.2,15.1,AA-,30.786,57.174,1.2,2030-07-05,4.729,2.606,59035.17,43.27,-27.42,533.26
123203,明电转02,155.003,-1.43,300739,明阳电路,15.84,-1.37,2.37,11.78,134.47,15.27,AA-,8.246,15.314,2.8,2029-07-03,3.723,1.472,4708.29,20.84,-6.23,170.27
118050,航宇转债,199.166,-1.58,688239,航宇科技,43.14,1.91,4.34,24.97,172.77,15.28,AA-,17.479,32.461,8.1,2030-08-21,4.858,6.668,12391.04,9.23,-10.09,214.45
118043,福立转债,228.612,-4.17,688678,福立旺,29.54,-5.53,4.31,14.9,198.26,15.31,AA-,10.43,19.37,5.4,2029-08-14,3.838,4.143,20434.19,21.56,-15.8,243.92
127070,大中转债,138.18,-0.75,001203,大中矿业,12.87,-0.92,2.96,10.76,119.61,15.53,AA,7.532,13.988,9.1,2028-08-17,2.847,15.19,5874.46,2.81,-6.25,153.71
113667,春23转债,153.121,-2.38,603890,春秋电子,13.43,-2.75,2.03,10.15,132.32,15.72,AA-,7.105,13.195,9.6,2029-03-17,3.427,5.699,4334.58,4.96,-7.11,168.84
110070,凌钢转债,128.355,-0.83,600231,凌钢股份,2.18,-0.46,1.23,1.97,110.66,15.99,AA,1.379,2.561,3.5,2026-04-13,0.499,2.17,3221.08,11.58,-25.56,144.35
123211,阳谷转债,184.969,-3.01,300121,阳谷华泰,14.86,-2.81,1.85,9.32,159.44,16.01,AA-,6.524,12.116,4.8,2029-07-27,3.789,3.071,12976.42,22.64,-11.06,200.98
123076,强力转债,141.785,1.93,300429,强力新材,15.52,6.45,4.46,12.7,122.2,16.03,AA-,8.89,16.51,9.4,2026-11-19,1.101,5.826,74062.24,88.68,-17.58,157.82
118041,星球转债,135.078,-0.71,688633,星球石墨,26.93,0.34,2.36,23.14,116.38,16.07,A+,16.198,30.082,16.0,2029-07-31,3.8,6.198,4447.37,5.29,-3.28,151.15
113691,和邦转债,126.581,-1.71,603077,和邦生物,2.18,-3.11,1.04,2.0,109.0,16.13,AA,1.4,2.6,23.9,2030-10-28,5.044,45.995,16103.69,2.75,-1.9,142.71
118013,道通转债,200.149,-2.83,688208,道通科技,37.88,-1.58,6.88,21.98,172.34,16.14,AA,15.386,28.574,5.0,2028-07-08,2.737,12.797,13007.11,5.02,-17.7,216.29
123188,水羊转债,202.795,0.39,300740,水羊股份,23.64,-1.21,4.3,13.54,174.59,16.15,A+,9.478,17.602,7.9,2029-04-04,3.477,6.723,31107.65,22.86,-14.18,218.95
118029,富淼转债,137.666,-0.31,688350,富淼科技,21.83,-0.55,1.88,18.43,118.45,16.22,A,12.901,23.959,16.9,2028-12-15,3.175,4.5,3598.13,5.83,-5.9,153.89
118039,煜邦转债,134.686,-0.38,688597,煜邦电力,8.45,-0.71,3.3,7.3,115.75,16.36,A,5.11,9.49,14.5,2029-07-20,3.77,4.104,3540.55,6.41,-3.56,151.05
123240,楚天转债,134.012,-0.64,300358,楚天科技,9.21,-1.6,1.23,8.0,115.13,16.4,AA,5.6,10.4,18.8,2030-01-30,4.301,10.0,5106.65,3.82,-3.6,150.41
127015,希望转债,107.85,-0.56,000876,新希望,9.81,-1.21,1.7,10.59,92.63,16.43,AAA,7.413,13.767,2.2,2026-01-03,0.225,9.493,3299.24,3.22,-7.73,124.28
113657,再22转债,137.951,-0.43,603601,再升科技,5.02,-1.38,2.33,4.24,118.4,16.51,AA-,3.392,5.512,9.2,2028-09-29,2.964,4.74,3588.12,5.51,-6.52,154.46
127039,北港转债,135.628,-0.91,000582,北部湾港,8.59,-0.35,1.09,7.39,116.24,16.68,AAA,5.173,9.607,6.8,2027-06-29,1.71,10.799,1757.03,1.19,-11.72,152.31
123092,天壕转债,136.858,-1.04,300332,天壕能源,5.84,-1.18,1.18,4.98,117.27,16.7,A+,3.486,6.474,7.1,2026-12-24,1.197,3.423,3683.55,7.85,-12.23,153.56
113615,金诚转债,666.278,0.92,603979,金诚信,67.25,-1.22,4.28,11.78,570.88,16.71,AA,8.246,15.314,1.2,2026-12-23,1.195,4.959,47706.29,14.48,-77.54,682.99
123128,首华转债,130.273,-1.81,300483,首华燃气,13.56,-1.02,1.8,12.15,111.6,16.73,AA-,8.505,15.795,36.4,2027-11-01,2.052,13.403,9706.18,5.53,-6.7,147.0
123189,晓鸣转债,139.88,1.51,300967,晓鸣股份,23.17,3.3,4.8,19.34,119.8,16.76,A,13.538,25.142,11.4,2029-04-06,3.482,3.287,19518.59,42.48,-4.78,156.64
118031,天23转债,125.751,-0.92,688599,天合光能,17.23,-2.49,1.6,16.0,107.69,16.77,AA,11.2,20.8,23.6,2029-02-13,3.34,88.645,16628.59,1.5,-1.6,142.52
127089,晶澳转债,128.481,-0.02,002459,晶澳科技,12.82,-1.91,1.71,11.66,109.95,16.85,AA+,8.162,15.158,21.1,2029-07-18,3.764,89.592,10734.97,0.94,-3.66,145.33
118007,山石转债,141.508,0.44,688030,山石网科,19.96,-0.7,4.27,16.5,120.97,16.98,A,11.55,21.45,7.4,2028-03-22,2.441,2.672,5092.09,13.47,-7.22,158.49
110074,精达转债,386.023,0.09,600577,XD精达股,10.94,0.55,3.97,3.32,329.52,17.15,AA,2.324,4.316,1.1,2026-08-19,0.849,2.701,38668.56,37.19,-83.85,403.17
127045,牧原转债,137.459,-0.25,002714,牧原股份,52.99,-0.43,3.7,45.18,117.29,17.2,AA+,31.626,58.734,4.7,2027-08-16,1.841,95.43,16878.94,1.29,-12.14,154.66
123149,通裕转债,136.414,-1.8,300185,通裕重工,3.16,-2.77,1.78,2.72,116.18,17.42,AA,1.904,3.536,12.7,2028-06-20,2.688,14.841,6834.89,3.38,-6.16,153.83
128137,洁美转债,137.538,-1.41,002859,洁美科技,30.95,-3.19,4.45,26.46,116.97,17.58,AA-,18.522,34.398,4.8,2026-11-04,1.06,5.986,3802.43,4.62,-16.61,155.12
113649,丰山转债,137.225,-0.71,603810,丰山集团,16.02,-3.44,1.64,13.73,116.68,17.61,AA-,9.611,17.849,17.3,2028-06-27,2.707,4.582,9153.46,14.57,-5.36,154.84
123159,崧盛转债,171.316,-4.82,301002,崧盛股份,35.47,-6.04,5.55,24.35,145.67,17.61,AA-,17.045,31.655,10.1,2028-09-27,2.959,2.656,12640.19,27.44,-12.12,188.93
